dataset,original_id,sentence,word_count,length_bucket
conll14,conll14_855,"Hence , our social circle is indeed expanding .",9,short
conll14,conll14_1074,One of Manager in my working place has the same situation .,12,short
conll14,conll14_1236,Then his or her mother will also know the emotion and feel warm .,14,short
conll14,conll14_1289,A lot of fresh graduates can find jobs thanks to Facebook and Twitter .,14,short
conll14,conll14_252,It is the ethic of staff in hospital to keep the secret of any patients .,16,short
conll14,conll14_475,And it is important for those young people .,9,short
conll14,conll14_465,We found that we actually are the genetic risk carrier .,11,short
conll14,conll14_1031,Intensive use of Social media does reduce the time people spend in face-to-face communication .,15,short
conll14,conll14_1210,Some people spend a lot of time in it and forget their real life .,15,short
conll14,conll14_481,It may affect our daily lives and we will think about it every day .,15,short
conll14,conll14_100,Genetic testing is made possible and available for one 's decision to undergo .,14,short
conll14,conll14_404,"Also , human being should improve the medical field in order to prevent the tragedy happen .",17,short
conll14,conll14_778,These are some concrete examples of how the socia media reduce face-to-face human contact .,15,short
conll14,conll14_426,He or she might even be adviced not to get married or have children .,15,short
conll14,conll14_1176,"What 's more , these days social media plays an important role in spreading the information .",17,short
conll14,conll14_1097,"However , communication on social media is largely based on "" broadcasting and listening "" .",16,short
conll14,conll14_340,"Admittedly , it is a social obligation to be responsible for the life of other people .",17,short
conll14,conll14_206,"I think the family will stay mentally healty as it is , without having emtional stress .",17,short
conll14,conll14_1076,Therefore my Manager would not miss the moments of her daughter 's growth .,14,short
conll14,conll14_1239,"Secondly , the social media sites can not only connect people with their friends closely .",16,short
conll14,conll14_307,A strong mental condition and conviction must be build from within and from the closest ones .,17,short
conll14,conll14_885,"Without the facial impression , it is easier to misunderstand the intention of speakers .",15,short
conll14,conll14_434,However wife D is not even under the risk of having this disease .,14,short
conll14,conll14_774,This can be easily seen in restaurants or cafes nowadays .,11,short
conll14,conll14_34,It is hereditary .,4,short
conll14,conll14_1143,It can take a few days or weeks for those to receive the messages .,15,short
conll14,conll14_88,"However , from the ethical point of view .",9,short
conll14,conll14_567,There is a story I watched on TV .,9,short
conll14,conll14_467,There are really a lot of things we need to consider .,12,short
conll14,conll14_923,"Lastly , it is easy for people to waste a lot of time using social media .",17,short
conll14,conll14_460,This is the responsibility of being a parent .,9,short
conll14,conll14_574,"People can not avoid carrying the disease genes , which they born with .",14,short
