original_id,dataset,length_bucket,word_count,sentence,system,model_version,run_index,corrected,error,timestamp
conll14_855,conll14,short,9,"Hence , our social circle is indeed expanding .",gector,gector-2024-roberta-large,1,"Hence , our social circle is indeed expanding .",,2026-06-23T13:25:09.090362
conll14_1074,conll14,short,12,One of Manager in my working place has the same situation .,gector,gector-2024-roberta-large,1,One of the managers in my workplace has the same situation .,,2026-06-23T13:25:10.915988
conll14_1236,conll14,short,14,Then his or her mother will also know the emotion and feel warm .,gector,gector-2024-roberta-large,1,Then his or her mother will also know the emotion and feel warm .,,2026-06-23T13:25:11.493537
conll14_1289,conll14,short,14,A lot of fresh graduates can find jobs thanks to Facebook and Twitter .,gector,gector-2024-roberta-large,1,A lot of fresh graduates can find jobs thanks to Facebook and Twitter .,,2026-06-23T13:25:12.122696
conll14_252,conll14,short,16,It is the ethic of staff in hospital to keep the secret of any patients .,gector,gector-2024-roberta-large,1,It is the ethic of staff in hospital to keep the secrets of any patients .,,2026-06-23T13:25:13.489401
conll14_475,conll14,short,9,And it is important for those young people .,gector,gector-2024-roberta-large,1,And it is important for those young people .,,2026-06-23T13:25:14.075671
conll14_465,conll14,short,11,We found that we actually are the genetic risk carrier .,gector,gector-2024-roberta-large,1,We found that we are actually genetic risk carriers .,,2026-06-23T13:25:17.088818
conll14_1031,conll14,short,15,Intensive use of Social media does reduce the time people spend in face-to-face communication .,gector,gector-2024-roberta-large,1,Intensive use of social media does reduce the time people spend on face-to-face communication .,,2026-06-23T13:25:18.201869
conll14_1210,conll14,short,15,Some people spend a lot of time in it and forget their real life .,gector,gector-2024-roberta-large,1,Some people spend a lot of time on it and forget their real life .,,2026-06-23T13:25:19.347761
conll14_481,conll14,short,15,It may affect our daily lives and we will think about it every day .,gector,gector-2024-roberta-large,1,It may affect our daily lives and we will think about it every day .,,2026-06-23T13:25:19.937603
conll14_100,conll14,short,14,Genetic testing is made possible and available for one 's decision to undergo .,gector,gector-2024-roberta-large,1,Genetic testing is made possible and available for one 's decision to undergo .,,2026-06-23T13:25:20.497840
conll14_404,conll14,short,17,"Also , human being should improve the medical field in order to prevent the tragedy happen .",gector,gector-2024-roberta-large,1,"Also , human beings should improve the medical field in order to prevent tragedys happening .",,2026-06-23T13:25:21.643571
conll14_778,conll14,short,15,These are some concrete examples of how the socia media reduce face-to-face human contact .,gector,gector-2024-roberta-large,1,These are some concrete examples of how the social media reduce face-to-face human contact .,,2026-06-23T13:25:23.023637
conll14_426,conll14,short,15,He or she might even be adviced not to get married or have children .,gector,gector-2024-roberta-large,1,He or she might even be advised not to get married or have children .,,2026-06-23T13:25:24.192506
conll14_1176,conll14,short,17,"What 's more , these days social media plays an important role in spreading the information .",gector,gector-2024-roberta-large,1,"What 's more , these days social media plays an important role in spreading information .",,2026-06-23T13:25:25.323372
conll14_1097,conll14,short,16,"However , communication on social media is largely based on "" broadcasting and listening "" .",gector,gector-2024-roberta-large,1,"However , communication on social media is largely based on "" broadcasting and listening "" .",,2026-06-23T13:25:26.048437
conll14_340,conll14,short,17,"Admittedly , it is a social obligation to be responsible for the life of other people .",gector,gector-2024-roberta-large,1,"Admittedly , it is a social obligation to be responsible for the lives of other people .",,2026-06-23T13:25:27.170464
conll14_206,conll14,short,17,"I think the family will stay mentally healty as it is , without having emtional stress .",gector,gector-2024-roberta-large,1,"I think the family will stay mentally healthy as it is , without having emotional stress .",,2026-06-23T13:25:28.301443
conll14_1076,conll14,short,14,Therefore my Manager would not miss the moments of her daughter 's growth .,gector,gector-2024-roberta-large,1,"Therefore , my manager would not miss the moments of her daughter 's growth .",,2026-06-23T13:25:29.554280
