original_id,dataset,length_bucket,word_count,sentence,system,model_version,run_index,corrected,error,timestamp
conll14_855,conll14,short,9,"Hence , our social circle is indeed expanding .",languagetool,languagetool-6.8,1,"Hence, our social circle is indeed expanding.",,2026-06-23T14:49:36.563513
conll14_1074,conll14,short,12,One of Manager in my working place has the same situation .,languagetool,languagetool-6.8,1,One of Manager in my working place has the same situation.,,2026-06-23T14:49:38.635029
conll14_1236,conll14,short,14,Then his or her mother will also know the emotion and feel warm .,languagetool,languagetool-6.8,1,Then his or her mother will also know the emotion and feel warm.,,2026-06-23T14:49:40.690094
conll14_1289,conll14,short,14,A lot of fresh graduates can find jobs thanks to Facebook and Twitter .,languagetool,languagetool-6.8,1,A lot of fresh graduates can find jobs thanks to Facebook and Twitter.,,2026-06-23T14:49:42.777330
conll14_252,conll14,short,16,It is the ethic of staff in hospital to keep the secret of any patients .,languagetool,languagetool-6.8,1,It is the ethic of staff in hospital to keep the secret of any patients.,,2026-06-23T14:49:44.859740
conll14_475,conll14,short,9,And it is important for those young people .,languagetool,languagetool-6.8,1,And it is important for those young people.,,2026-06-23T14:49:46.927629
conll14_465,conll14,short,11,We found that we actually are the genetic risk carrier .,languagetool,languagetool-6.8,1,We found that we actually are the genetic risk carrier.,,2026-06-23T14:49:48.992243
conll14_1031,conll14,short,15,Intensive use of Social media does reduce the time people spend in face-to-face communication .,languagetool,languagetool-6.8,1,Intensive use of Social media does reduce the time people spend in face-to-face communication.,,2026-06-23T14:49:51.064349
conll14_1210,conll14,short,15,Some people spend a lot of time in it and forget their real life .,languagetool,languagetool-6.8,1,Some people spend a lot of time in it and forget their real life.,,2026-06-23T14:49:53.121817
conll14_481,conll14,short,15,It may affect our daily lives and we will think about it every day .,languagetool,languagetool-6.8,1,"It may affect our daily lives, and we will think about it every day.",,2026-06-23T14:49:55.191180
conll14_100,conll14,short,14,Genetic testing is made possible and available for one 's decision to undergo .,languagetool,languagetool-6.8,1,Genetic testing is made possible and available for one's decision to undergo.,,2026-06-23T14:49:57.266861
conll14_404,conll14,short,17,"Also , human being should improve the medical field in order to prevent the tragedy happen .",languagetool,languagetool-6.8,1,"Also, human being should improve the medical field in order to prevent the tragedy happen.",,2026-06-23T14:49:59.325752
conll14_778,conll14,short,15,These are some concrete examples of how the socia media reduce face-to-face human contact .,languagetool,languagetool-6.8,1,These are some concrete examples of how the social media reduce face-to-face human contact.,,2026-06-23T14:50:01.472447
conll14_426,conll14,short,15,He or she might even be adviced not to get married or have children .,languagetool,languagetool-6.8,1,He or she might even be advice not to get married or have children.,,2026-06-23T14:50:03.547307
conll14_1176,conll14,short,17,"What 's more , these days social media plays an important role in spreading the information .",languagetool,languagetool-6.8,1,"What's more, these days social media plays an important role in spreading the information.",,2026-06-23T14:50:05.613906
conll14_1097,conll14,short,16,"However , communication on social media is largely based on "" broadcasting and listening "" .",languagetool,languagetool-6.8,1,"However, communication on social media is largely based on"" broadcasting and listening"" .",,2026-06-23T14:50:07.758954
conll14_340,conll14,short,17,"Admittedly , it is a social obligation to be responsible for the life of other people .",languagetool,languagetool-6.8,1,"Admittedly, it is a social obligation to be responsible for the life of other people.",,2026-06-23T14:50:09.826783
conll14_206,conll14,short,17,"I think the family will stay mentally healty as it is , without having emtional stress .",languagetool,languagetool-6.8,1,"I think the family will stay mentally health as it is, without having emotional stress.",,2026-06-23T14:50:11.914241
conll14_1076,conll14,short,14,Therefore my Manager would not miss the moments of her daughter 's growth .,languagetool,languagetool-6.8,1,"Therefore, my Manager would not miss the moments of her daughter's growth.",,2026-06-23T14:50:13.978226
conll14_1239,conll14,short,16,"Secondly , the social media sites can not only connect people with their friends closely .",languagetool,languagetool-6.8,1,"Secondly, the social media sites can not only connect people with their friends closely.",,2026-06-23T14:50:16.048207
conll14_307,conll14,short,17,A strong mental condition and conviction must be build from within and from the closest ones .,languagetool,languagetool-6.8,1,A strong mental condition and conviction must be built from within and from the closest ones.,,2026-06-23T14:50:18.101477
conll14_885,conll14,short,15,"Without the facial impression , it is easier to misunderstand the intention of speakers .",languagetool,languagetool-6.8,1,"Without the facial impression, it is easier to misunderstand the intention of speakers.",,2026-06-23T14:50:20.152941
conll14_434,conll14,short,14,However wife D is not even under the risk of having this disease .,languagetool,languagetool-6.8,1,"However, wife D is not even under the risk of having this disease.",,2026-06-23T14:50:22.219933
conll14_774,conll14,short,11,This can be easily seen in restaurants or cafes nowadays .,languagetool,languagetool-6.8,1,This can be easily seen in restaurants or cafés nowadays.,,2026-06-23T14:50:24.275371
conll14_34,conll14,short,4,It is hereditary .,languagetool,languagetool-6.8,1,It is hereditary.,,2026-06-23T14:50:26.319657
conll14_1143,conll14,short,15,It can take a few days or weeks for those to receive the messages .,languagetool,languagetool-6.8,1,It can take a few days or weeks for those to receive the messages.,,2026-06-23T14:50:28.381723
conll14_88,conll14,short,9,"However , from the ethical point of view .",languagetool,languagetool-6.8,1,"However, from the ethical point of view.",,2026-06-23T14:50:30.431734
conll14_567,conll14,short,9,There is a story I watched on TV .,languagetool,languagetool-6.8,1,There is a story I watched on TV.,,2026-06-23T14:50:32.486567
conll14_467,conll14,short,12,There are really a lot of things we need to consider .,languagetool,languagetool-6.8,1,There are really a lot of things we need to consider.,,2026-06-23T14:50:34.542349
conll14_923,conll14,short,17,"Lastly , it is easy for people to waste a lot of time using social media .",languagetool,languagetool-6.8,1,"Lastly, it is easy for people to waste a lot of time using social media.",,2026-06-23T14:50:36.602621
conll14_460,conll14,short,9,This is the responsibility of being a parent .,languagetool,languagetool-6.8,1,This is the responsibility of being a parent.,,2026-06-23T14:50:38.662568
conll14_574,conll14,short,14,"People can not avoid carrying the disease genes , which they born with .",languagetool,languagetool-6.8,1,"People can not avoid carrying the disease genes, which they were born with.",,2026-06-23T14:50:40.727167
conll14_10,conll14,short,5,My answer is no .,languagetool,languagetool-6.8,1,My answer is no.,,2026-06-23T14:50:42.779669
conll14_921,conll14,short,17,This is a potential danger for teenagers who are growing with social changes to get hurt .,languagetool,languagetool-6.8,1,This is a potential danger for teenagers who are growing with social changes to get hurt.,,2026-06-23T14:50:44.840959
conll14_623,conll14,short,16,"Besides , there are more people shwing their pictures of yummy food or travelling experience .",languagetool,languagetool-6.8,1,"Besides, there are more people showing their pictures of yummy food or travelling experience.",,2026-06-23T14:50:46.909160
conll14_604,conll14,short,16,"We know each others ' status , changements and so on through the social media .",languagetool,languagetool-6.8,1,"We know each others' status, arrangements and so on through the social media.",,2026-06-23T14:50:49.043655
conll14_993,conll14,short,12,"Secondly , it helps people to keep in-touch with one another .",languagetool,languagetool-6.8,1,"Secondly, it helps people to keep in-touch with one another.",,2026-06-23T14:50:51.108903
conll14_224,conll14,short,11,This would avoid the rise of more family-related ethical dilemma .,languagetool,languagetool-6.8,1,This would avoid the rise of more family-related ethical dilemma.,,2026-06-23T14:50:53.170898
conll14_1096,conll14,short,13,"We share ideas , stories and forge friendship based on mutual respect .",languagetool,languagetool-6.8,1,"We share ideas, stories and forge friendship based on mutual respect.",,2026-06-23T14:50:55.222097
conll14_1027,conll14,short,11,"However , as the government controls most of the media .",languagetool,languagetool-6.8,1,"However, as the government controls most of the media.",,2026-06-23T14:50:57.269935
conll14_416,conll14,short,13,He runs a test and know that he has the gene AA .,languagetool,languagetool-6.8,1,He runs a test and know that he has the gene AA.,,2026-06-23T14:50:59.322422
conll14_559,conll14,short,13,Therefore there is nothing to be shy for or be afraid of .,languagetool,languagetool-6.8,1,"Therefore, there is nothing to be shy for or be afraid of.",,2026-06-23T14:51:01.379604
conll14_768,conll14,short,17,It is obvious to see that internet saves people 's time and also connect people globally .,languagetool,languagetool-6.8,1,It is obvious to see that internet saves people's time and also connect people globally.,,2026-06-23T14:51:03.435256
conll14_703,conll14,short,13,"In addition , cyber relationship can not always work in real life .",languagetool,languagetool-6.8,1,"In addition, cyber relationship can not always work in real life.",,2026-06-23T14:51:05.497220
conll14_1197,conll14,short,16,This essay will illustrate the pros and cons of using social media in modern society .,languagetool,languagetool-6.8,1,This essay will illustrate the pros and cons of using social media in modern society.,,2026-06-23T14:51:07.575463
conll14_101,conll14,short,16,It is able to detect the illnesses or diseases and even a child 's parentage .,languagetool,languagetool-6.8,1,It is able to detect the illnesses or diseases and even a child's parentage.,,2026-06-23T14:51:09.618488
conll14_74,conll14,short,9,Privicy protection belongs to one 's human rights .,languagetool,languagetool-6.8,1,Privacy protection belongs to one's human rights.,,2026-06-23T14:51:11.696776
conll14_999,conll14,short,16,"However , social media sites also have its second side of negative impact on human .",languagetool,languagetool-6.8,1,"However, social media sites also have its second side of negative impact on human.",,2026-06-23T14:51:13.757373
conll14_294,conll14,short,13,The people with albinism have sensitive skin and it needs regular treatment .,languagetool,languagetool-6.8,1,The people with albinism have sensitive skin and it needs regular treatment.,,2026-06-23T14:51:15.812035
conll14_291,conll14,short,9,"So , they have to also prepare mentally .",languagetool,languagetool-6.8,1,"So, they have to also prepare mentally.",,2026-06-23T14:51:17.896852
