system,dataset,run_index,tp,fp,fn,precision,recall,f05,gleu,num_sentences
chatgpt,bea19,1,72,578,248,0.1108,0.225,0.1233,,200
chatgpt,bea19,2,78,583,242,0.118,0.2437,0.1316,,200
chatgpt,bea19,3,67,584,252,0.1029,0.21,0.1146,,200
chatgpt,conll14,1,143,614,583,0.1889,0.197,0.1905,,200
chatgpt,conll14,2,140,640,586,0.1795,0.1928,0.182,,200
chatgpt,conll14,3,141,631,585,0.1826,0.1942,0.1848,,200
chatgpt,jfleg,1,,,,,,,0.421046,200
chatgpt,jfleg,2,,,,,,,0.421115,200
chatgpt,jfleg,3,,,,,,,0.420076,200
claude,bea19,1,85,513,235,0.1421,0.2656,0.1567,,200
claude,bea19,2,82,510,238,0.1385,0.2562,0.1525,,200
claude,bea19,3,85,510,235,0.1429,0.2656,0.1574,,200
claude,conll14,1,155,584,571,0.2097,0.2135,0.2105,,200
claude,conll14,2,155,582,571,0.2103,0.2135,0.2109,,200
claude,conll14,3,154,588,572,0.2075,0.2121,0.2084,,200
claude,jfleg,1,,,,,,,0.422892,200
claude,jfleg,2,,,,,,,0.423165,200
claude,jfleg,3,,,,,,,0.423706,200
deepseek,bea19,1,80,539,239,0.1292,0.2508,0.1431,,200
deepseek,bea19,2,80,527,239,0.1318,0.2508,0.1456,,200
deepseek,bea19,3,77,540,242,0.1248,0.2414,0.1381,,200
deepseek,conll14,1,141,609,585,0.188,0.1942,0.1892,,200
deepseek,conll14,2,135,605,591,0.1824,0.186,0.1831,,200
deepseek,conll14,3,146,597,580,0.1965,0.2011,0.1974,,200
deepseek,jfleg,1,,,,,,,0.419347,200
deepseek,jfleg,2,,,,,,,0.42095,200
deepseek,jfleg,3,,,,,,,0.421854,200
grammarly,conll14,1,104,670,622,0.1344,0.1433,0.1361,,200
languagetool,bea19,1,24,405,299,0.0559,0.0743,0.0589,,200
languagetool,conll14,1,30,424,696,0.0661,0.0413,0.059,,200
languagetool,jfleg,1,,,,,,,0.400016,200
